name;bd1;bd2;bd3;bd4;bd5;bd6;bd7;bd8;adress;gps;tel;mail;web;;
Landscapes Unlimited;Active Member;Class A;Design/Build;Hardscape;In-House Landscape Management;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;5155 W Old 106th St, Zionsville, IN 46077-0001;39.940008, -86.2506449;(317) 873-5886;-;http://www.landscapesunlimitedin.com/;;
Lawn Landscape Company;Active Member;Aquatics;Class B;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;PO Box 185 (Boone Co.), Zionsville, IN 46077;39.9508733, -86.261937;(317) 696-0253;;;;
LAWN and SHRUB Inc;Active Member;Class B;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;3721 N 500 E, Lafayette, IN 47905-7867;40.4728459, -86.807709;(765) 589-3276;-;http://lawnandshrub.com/;;
Lawn & Turf Landscaping; Inc.;Active Member;Class A;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;6136 Winchester Rd, Fort Wayne, IN 46819;41.0294924, -85.149953;(260) 747-3298;-;https://lawnandturfland.com/;
Lemcke Landscape;Active Member;Class A;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;4502 W 73rd St, Indianapolis, IN 46268;39.884250379827, -86.237685058202;(317) 875-8267;-;http://lemckelandscape.com/;;
Laura Stine Gardens;Active Member;Class D;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;5723 Lower Huntington Rd, Fort Wayne, IN 46809;41.011565, -85.21534099999997;(260) 414-7758;-;https://www.laurastinegardens.com/;;
Huser’s Firefighter Lawn & Landscape;Active Member;Class B;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;Pools and Spas;;2828 Canterbury Lane, Indianapolis, IN 46220;39.8784272, -86.1147609;(317) 603-1528;;;;
Indian Creek Stone Products;Associate Member;Hardscape Supplier/ Mulch;;;;;;;209 US Hwy 50 W Mitchell, IN 47446;38.7248116, -86.6801909;(812) 849-4808;-;https://www.indiancreekstone.com/;;
Huntington Nursery;Active Member;Annuals;Class B;Conifers;Deciduous trees;Design/Build;Erosion Control;Ground Covers;2964 West Park Dr, Huntington, IN 46750-8901;40.879707, -85.528066;(260) 356-4718;-;http://huntingtonnursery.com/;;
Hulen’s Landscaping; Inc.;Active Member;Annuals;Class C;Conifers;Deciduous trees;Design/Build;Ground Covers;Hardscape;4061 E Rt 6, Kendallville, IN 46755;41.453541, -85.334249;(260) 347-0861;-;;
Landscapes by Dallas Foster Inc;Active Member;Class A;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;;3729 North Camp Arthur Rd, Vincennes, IN 47591;38.73098386608, -87.482384138623;(812) 882-0719;-;http://www.dallasfoster.com/;;
Hubinger Landscaping Corp.;Active Member;Annuals;Class B;Conifers;Deciduous trees;Design/Build;Ground Covers;Hardscape;210 E 113th Ave, Crown Point, IN 46307;41.4139971, -87.3327143;(219) 662-9911;-;http://hubingers.com/;;
Landscape Solutions;Active Member;Aquatics;Erosion Control;In-House Landscape Management;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;15325 Herriman Blvd, Noblesville, IN 46062;40.0119077, -86.0060093;(317) 776-3781;-;https://www.landscapesolutionsllc.com/;;
Landscape Specialties Inc.;Active Member;Aquatics;Class B;Conifers;Design/Build;Hardscape;Irrigation;Lawncare/Landscape Maintenance;7516 E. Thompson Road, Indianapolis, IN 46239;39.6961168, -86.03503560000001;(317) 862-5880;-;;;
Joe Dirt Landscaping;Active Member;Class D;Design/Build;Hardscape;Landscape Design;;;;528 South SR 115, Wabash, IN 46992;40.7994224, -85.8675827;(260) 563-3478;-;;;
Joe Ramey;Affiliate Member;;;;;;;;Paragon, Indiana;39.395136631528, -86.562150269907;(317) 341-3667;-;;;
Jay-Crew Landscape; Inc;Active Member;Design/Build;In-House Landscape Management;Irrigation;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;;2901 S Gharkey St,  Muncie, IN 47302;40.170051, -85.3942201;(765) 289-5296;-;https://jaycrew.com/;
Landscape Concepts Management Inc;Active Member;Class A;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;31745 N Alleghany Rd, Grays Lake, IL 60030;42.3241263, -88.0527742;(866) 655-3800;-;https://www.landscapeconcepts.com/;;
Lakeshore Seasonal Services; Inc.;Active Member;Annuals;Conifers;Deciduous trees;Ground Covers;Hardscape;In-House Landscape Management;Irrigation;1855 Clifford Road, Valparaiso, IN 46384;41.4722802, -87.0843746;(219) 462-9555;-;https://lakeshorelandscaping.com/;
Kraft Nursery; Inc;Active Member;Class B;Conifers;Deciduous trees;Design/Build;Grower;Hardscape;Horticulture Supplies;14930 Bender Rd, Evansville, IN 47720;38.1155295, -87.61605529999997;(812) 963-5011;-;https://www.kraftnursery.net/;
Jansen Landscaping Inc;Active Member;Class D;Design/Build;Hardscape;Lawncare/Landscape Maintenance;;;;24365 CR 28, Goshen, IN 46526;41.610264, -85.933668; (574) 875-5422;-;http://www.jansenlandscaping.com/;;
Knightstown Elevator Inc;Active Member;Class D;Design/Build;Hardscape;Landscape Design;;;;4 West Grant Street, Knightstown, IN 46148-0065;39.790438, -85.5274;(765) 345-2181;-;http://www.knightstownelevator.com/;;
Kim Rayburn Landscape Design and Consultation;Active Member;Class C;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;2810 California Court, Columbus, IN 47201;39.2282639, -85.9149413;(812) 764-4326;-;;;
Kenney Machinery Corp;Associate Member;Equipment dealer;;;;;;;8420 Zionsville Rd, Indianapolis, IN 46268;39.9083105, -86.2638543;(317) 872-4793;-;https://kmcturf.com/;;
Kankakee Nursery Co;Associate Member;Grower;Horticulture, Product Supplier;Out of State Business;Wholesale;;;;PO Box 288 Aroma Park, IL 60910;41.07776519999999, -87.8046111;(800) 344-7697;-;https://www.kankakeenursery.com/;;
Just-In-Time Lawn Care LLC;Active Member;Annuals;Class C;Erosion Control;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;7425 East 86th St, Indianapolis, IN 46256;39.9120953, -86.0376135;(812) 955-0618;-;http://www.jitlawn.com/indy;;
Jud Scott Consulting Arborist LLC;Active Member;Arborist;Class D;Consultant;;;;;4721 E. 146th St., Carmel, IN 46033;39.9999712, -86.0910726;(317) 815-8733;;http://arboristexpert.com/;;
Indiana Business Appraisals LLC;Associate Member;Business Services;Consultant;;;;;;PO Box 134, New Albany IN 47151;38.29, -85.8199999;812) 590-4155;;https://indianaba.com/;;
Jackson’s Nursery Inc;Active Member;Class A;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;Grower;7183 E CR 400 N, Greensburg, IN 47240;39.3942859, -85.3441003;(812) 527-2975;-;http://jacksonsnursery.com/;;
Indiana Berry & Plant Co;Active Member;Class A;Retail;Soil Amendments;Wholesale;;;;2811 Michigan Rd, Plymouth, IN 46563;41.4377652, -86.3121064;(574) 784-2310;-;https://www.indianaberry.com/;;
IUPUI Grounds Dept;Associate Member;Educational Facility/Agency;;;;;;;1050 Wishard Blvd., Rm 202A, Indianapolis, IN 46202;39.7786078, -86.1778779;(317) 274-3816;-;https://cfs.iupui.edu/services/grounds-services.html;;
Indy Turf and Landscape LLC;Active Member;Class A;Erosion Control;Landscape Design;Lawncare/Landscape Maintenance;Retail;Snow and Ice Removal;;2444 S 600 W, Anderson, IN 46011;40.0690638, -85.7858651;(317) 407-1035;-;https://www.indyturf.com/;;
Indianapolis Museum of Art — Grounds Dept;Associate Member;Retail;;;;;;;4000 N Michigan Rd, Indianapolis, IN 46208;39.8260205, -86.1857647;(317) 923-1331 ext 574;-;https://discovernewfields.org/;;
Indianapolis Motor Speedway;Associate Member;In-House Landscape Management;Turf/Sod;;;;;;4790 W 16th St., Indianapolis, IN 46222;39.7880476, -86.2387976;317-492-6532;-;;;
Home Nursery Inc;Associate Member;Conifers;Deciduous trees;Ground Covers;Grower;Horticulture, Product Supplier;Ornamental Trees;Out of State Business;PO Box 128 Albers, IL 62215;38.5433823, -89.6123129;(618) 248-5194, xtn 104;-;http://www.homenursery.com/;;
Hittle Landscaping Inc;Active Member;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;17778 Sun Park Dr, Westfield, IN 46074;40.046203, -86.1387247;(317) 896-5697;-;https://www.hittlelandscape.com/;;
Herman Losely & Son; Inc.;Associate Member;Conifers;Deciduous trees;Ground Covers;Out of State Business;Perennials;Shrubs;Wholesale;3410 Shepard Rd, Perry, OH 44081;41.7493997, -81.1650381;(440) 259-2725;-;https://losely.com/;
Henneke Nursery;Active Member;Class D;Grower;Ornamental Trees;Perennials;Shrubs;Wholesale;;2504 N. Co Rd 525 E, Milan, IN 47031;39.109196021546, -85.164020443933;(812) 654-2887;-;;;
Helms Lawn Specialist; Inc.;Active Member;Class D;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;74 N US Hwy 421, Delphi, IN 46923;40.5488451, -86.6457495;(765) 564-3728;-;;
Heartland Growers Inc;Active Member;Annuals;Greenhouse;Grower;Platinum;Wholesale;;;2621 E 186th St, Westfield, IN 46074-9683;40.05574637346, -86.116306084656;(317) 896-9355;;http://www.heartlandgrowers.com/;;
Harrells;Associate Member;Horticulture, Product Supplier;Out of State Business;Soil Amendments;Turf/Sod;;;;711 Sherwood Dr. Madison, OH 44057;41.7603463, -81.0608468;(740) 644-9020;;;;
Hank Metzger Landscape Inc;Active Member;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;;;;3037 S 7th St, Terre Haute, IN 47802-0001;39.43189, -87.40723220000001;(812) 235-3243;-;http://hankmetzgerlandscape.com/;;
Hanover College;Active Member;Class D;In-House Landscape Management;Irrigation;Lawncare/Landscape Maintenance;Snow and Ice Removal;;;359 E LaGrange Rd, Hanover, IN 47243;38.7277909, -85.4615515;(812) 866-7066;-;;;
Grower Direct Supply Inc;Associate Member;;;;;;;;1199 Fairway Dr Ste 112 Walnut CA 91789;33.993195, -117.870296;(479) 366-3375;-;https://growerdirectsupply.com;;
Greenwood Turf Management LLC;Active Member;Class D;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;;;1197 W Whiterock Rd., Brazil, IN 47834;39.5068404, -87.1352142;(812) 236-7889;-;;;
Greenleaf Nursery Company;Annuals;Associate Member;Conifers;Ground Covers;Grower;Ornamental Trees;Out of State Business;Perennials;28406 Hwy 82 Park Hill, OK 74464;35.7637308, -94.9074668;(800) 331-2982;-;https://www.greenleafnursery.com/;;
GreenImage Landscape;Active Member;Class A;Design/Build;Hardscape;Irrigation;Lawncare/Landscape Maintenance;Snow and Ice Removal;;PO Box 4179, Carmel, IN 46082;39.97, -86.17000000000002;(317) 288-2921;-;https://greenimagelandscape.com/;;
Greenfield Landscape Services Inc;Active Member;Class A;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;2523 Messick Dr, Goshen, IN 46526;41.5525315, -85.81318240000002;(574) 533-9544;-;http://www.greenfieldlandscape.com/;;
Greendell Landscape Solutions;Active Member;Annuals;Conifers;Deciduous trees;Ground Covers;Horticulture Supplies;Mulch;Ornamental Trees;749 W. State Road 42, Mooresville, IN 46158-6045;39.5908772, -86.4412094;(317) 996-2826;-;https://greendelllandscape.com/;;
Grant Line Nursery and Garden Center;Active Member;Annuals;Class B;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;2223 Grant Line Rd., New Albany, IN 47150;38.3094004, -85.8214648;(812) 945-5676;-;http://grantlinegarden.com/;;
Good Earth; LLC;Active Member;Class B;Mulch;Soil Amendments;Wholesale;;;;650 E Empire Mill Rd Bloomington, IN 47401;39.0844606, -86.5317428;(812) 824-7928;-;http://www.gogoodearth.com/;
Goodmark Nurseries;Associate Member;Horticulture, Product Supplier;Out of State Business;;;;;;8920 Howe Rd, Wonder Lake, IL 60097;42.412698, -88.372356;(815) 653-9293;-;https://www.goodmarknurseries.com/;;
Golf Club of Indiana;Associate Member;;;;;;;;PO Box 5009, Zionsville, IN 46077;39.951097878821, -86.2615854526;(317) 371-4638;-;https://golfindiana.com/;;
Gluesenkamps Designscape Hort Serv;Active Member;Aquatics;Class A;Conifers;Deciduous trees;Design/Build;Erosion Control;Ground Covers;2877 S T C Steele Rd, Nashville, IN 47448-9584;39.1200091, -86.3421694;(812) 988-8900;-;http://designhort.com/;;
Green Touch Services;Active Member;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;6314 W Broadway, McCordsville, IN 46055;39.8939848, -85.9243457;(317) 335-2628;-;https://greentouchservices.com/;;
Green Stone; LLC;Associate Member;Hardscape;Hardscape Supplier/ Mulch;;;;;;4455 E Conner St, Noblesville, IN 46060;40.0423143, -85.9668566;(317) 414-6881;-;https://greenstonecompany.com/;
Green Acres Landscape & Design; Inc;Active Member;Class A;Deciduous trees;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;3431 Senour Rd, Indianapolis, IN 46239-0001;39.7195169, -85.9745555;(317) 862-4310;-;https://greenacreslandscaping.com/;
Ginger Valley Inc;Active Member;Annuals;Class B;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;15065 SR 23 ,Granger, IN 46530;41.7327948, -86.1606701;(574) 271-0202;-;http://www.gingervalley.com/;;
Gillette/Duling Tree – Landscape;Class D;Lawncare/Landscape Maintenance;;;;;;;1521 N Jefferson, Muncie, IN 47303-3050;40.2076459, -85.38244499999996;(765) 282-2284;-;;;
Garfield Park Conservatory and Sunken Gardens;Affiliate Member;Educational Facility/Agency;;;;;;;2505 Conservatory Dr. Indianapolis, IN 46203;39.7322103, -86.1413451;(317) 327-7183;-;https://www.garfieldgardensconservatory.org/;;
Franco Landscaping Inc;Active Member;Design/Build;Hardscape;Platinum;;;;;9330 Maloney Rd. Brownsburg, IN 46112;39.886772, -86.357306;(317) 858-3858;-;http://www.francoland.com/;;
Foegley Landscape Inc;Active Member;Aquatics;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;52215 N Lilac Rd South Bend, IN 46628-0001;41.7344921, -86.2778185;(574) 277-2424;-;https://www.foegleylandscape.com/;;
Forest Commodities Inc;Active Member;Class A;Hardscape Supplier/ Mulch;Lawncare/Landscape Maintenance;Mulch;Soil Amendments;;;1789 S Old St Rd 67, Martinsville, IN 46151;39.3948739, -86.5337545;(765) 349-3291;-;https://forestcommodities.com/;;
Flower & Herb Barn Nursery;Active Member;Annuals;Class D;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;3497 Claylick Rd, Nashville, IN 47448;39.2467553, -86.1798197;(812) 988-2689;;;;
Finn All Seasons;Associate Member;Equipment dealer;Horticulture, Product Supplier;Out of State Business;Soil Amendments;;;;4125 Port Union Rd, Fairfield, OH 45014;39.3306403, -84.48374659999999;(513) 881-4580;-;https://www.finnallseasons.com/;;
Fiano Landscapes;Active Member;Annuals;Class A;Conifers;Deciduous trees;Design/Build;Ground Covers;Hardscape;1990 N Meridian Rd, Greenfield, IN 46140;39.8130979, -85.8034799;(317) 318-1015;-;http://fianolandscapes.com/;;
Fahl Colors Landscape Design & Build;Active Member;Class C;Conifers;Deciduous trees;Design/Build;Grower;Hardscape;Landscape Design;3535 W. 300 S., Columbia City, IN 46725;41.1172813, -85.5606854;(260) 609-7265;;;;
Fairview Evergreen Nurseries Inc;Associate Member;Conifers;Deciduous trees;Ornamental Trees;Out of State Business;Shrubs;Wholesale;;7463 West Ridge Road, Fairview, PA 16415;42.0320333, -80.2544687;(800) 458-2234;-;http://www.fairviewevergreen.com/;;
Five Stones Marketing LLC;Associate Member;;;;;;;;PO Box 318, Zionsville, IN 46077 ;39.951052963057, -86.26165576208;317-344-9296;-;http://www.fivestonesmarketing.com;;
M & K Truck Centers;Associate Member;Equipment dealer;Retail;;;;;;1401 Harding Court, Indianapolis, IN 46217;39.6957184, -86.1830743;(317) 503-9621;-;https://www.mktruckcenters.com/;;
Mascari Lawn & Landscape; Inc.;Active Member;Class A;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;Landscape Design;2215 Lafayette Ave, Terre Haute, IN 47805;39.5114156, -87.382604;(812) 466-6807;-;http://mascarilawnandlandscape.com/;
Midwest Landscape Industries; Inc;Active Member;Design/Build;Hardscape;Irrigation;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;;6800 E 30th St., Ste. 100, Indianapolis, IN 46219;39.8111143, -86.05084169999999;(317) 672-3788;-;https://www.mli-in.com/;
Midwest Groundcovers;Associate Member;Conifers;Ground Covers;Grower;Out of State Business;Perennials;Shrubs;Wholesale;6N800 IL-25 St. Charles, IL 60174 ;41.969242, -88.286705;(847) 742-1790;-;https://www.midwestgroundcovers.com/;;
Mother Nature Landscaping; Inc.;Active Member;Aquatics;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;4848 S Walnut Street Pike  Bloomington, IN 47401;39.1091392, -86.5265123;Phone: (812) 339-5296;-;http://www.mothernature-landscaping.com/;
Mulch Manufacturing; Inc.;Associate Member;Hardscape Supplier/ Mulch;Out of State Business;;;;;;6747 Taylor Rd SW, Reynoldsburg, OH 43068;39.996792, -82.764552;(614) 864-4004;-;http://mulchmfg.com/;
New Leaf Landscape Consulting; Inc.;Active Member;Class D;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;PO Box 1761 Bloomington, IN 47402;39.09, -86.47000000000003;(812) 322-3091;-;https://www.newleafconsult.com/;
North Branch Nursery;Associate Member;Out of State Business;;;;;;;3359 Kesson Rd, Pemberville OH, 43450;41.4020813, -83.4611458;(419) 287-4679;;;;
Ohio Nursery Exchange;Associate Member;Conifers;Grower;Out of State Business;Perennials;Shrubs;Wholesale;;411 North State Route 235, New Carlisle, OH 45344-2149;40.3560869, -83.909748;(937) 845-3821;-;https://www.ohionurseryexchange.com/;;
Perk-A-Lawn Gardens; Inc.;Active Member;Annuals;Class A;Conifers;Deciduous trees;Design/Build;Erosion Control;Ground Covers;2470 Maranatha Ln, Vincennes, IN 47591;38.6906703, -87.50539189999999;(812) 882-5752;-;http://www.perkalawngardens.com/;
Price Nurseries; Inc.;Active Member;Class B;Conifers;Deciduous trees;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;7880 King Rd, Plymouth, IN 46563-9575;41.3639331, -86.2613978;(574) 936-4459;-;https://www.pricenurseries.com/;
Prestige Lawn Solutions;Active Member;Class A;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;;;5358 Victory Drive Ste B, Indianapolis, IN 46203;39.7024443, -86.0756576;317-222-4187;-;;;
Property Pros Land Management LLC;Active Member;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;1200 E Broadway St, Fortville, IN 46040;39.940425, -85.824636;(317) 482-3111;-;https://propertyproslm.com/;;
Professional Golfcar Corp;Associate Member;Equipment dealer;;;;;;;PO Box 250, Bloomington, IN 47402;39.09, -86.47;765-352-8156;-;;;
Schneider Nursery; Inc.;Active Member;Class A;Conifers;Deciduous trees;Garden Center;Greenhouse;Grower;Retail;3066 US Hwy 50 E Seymour, IN, 47274-9806;38.9174839, -85.9810607;(812) 522-4068;-;http://www.schneidernursery.com/;
Reynolds Farm Equipment;Associate Member;Equipment dealer;Retail;;;;;;12501 Reynolds Dr, Fishers, IN 46038;39.9664824, -86.001894;(317) 849-0810;-;https://www.reynoldsfarmequipment.com/;;
Schrader Landscape Services;Active Member;Aquatics;Class D;Design/Build;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;;3501 S Clay Bridge, Bloomington, IN 47401;39.1295919, -86.5063858;(812) 325-0202;-;http://schraderlandscapeservices.com;;
Salsbery Brothers Landscaping; Inc.;Active Member;Design/Build;Hardscape;In-House Landscape Management;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;4317 E 146th St, Carmel, IN 46033;39.9986931, -86.0953232;(317) 843-0l00;-;http://www.salsberybros.com;
Russo Power Equipment;Associate Member;Equipment dealer;Erosion Control;Lawncare/Landscape Maintenance;Out of State Business;Snow and Ice Removal;;;5612 Illinois Rd, Fort Wayne, IN 46804;41.07535379999999, -85.2144161;(260) 432-9438;-;https://www.russopower.com/;;
Rubley’s Nursery;Associate Member;Conifers;Deciduous trees;Grower;Ornamental Trees;Shrubs;Wholesale;;9689 Beersheba Highway, McMinnville, TN 37110;35.570009, -85.707256;(931) 668-1750;-;;;
RPM Machinery;Associate Member;Equipment dealer;;;;;;;3850 Heritage Drive, Lebanon, IN 46052;39.9851025, -86.4017415;(317) 856-3000;-;https://www.rpmmachinery.com/;;
Rose City Nursery;Active Member;Annuals;Class A;Conifers;Deciduous trees;Design/Build;Ground Covers;Hardscape;505 W Eaton Pike, Richmond, IN 47374;39.8287125, -84.8209054;(765) 962-5352;-;http://www.rosecitynursery.com/;;
Sand Point Living Interiors; Inc;Active Member;Class C;Design/Build;Hardscape;;;;;6901 Elzey St, Fort Wayne, IN 46809;41.0191561, -85.1729987;(260) 747-6362;-;;
Scenic Green;Active Member;Class C;Design/Build;Hardscape;Landscape Design;Snow and Ice Removal;;;PO Box 7816, Indianapolis, IN 46278;39.8911731, -86.2869507;(317) 370-6017;-;https://www.scenicgreen.com/;;
SavATree;Associate Member;;;;;;;;4621 E. 146th St., Carmel, IN 46033;40.0001486, -86.0912058;(317) 846-3778;-;https://www.savatree.com/;;
Retain It Landscaping;Active Member;Class A;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Landscape Design;Pools and Spas;4625 S 700 E Whitestown, IN 46075;39.975225747293, -86.336123050456;(317) 769-5540;-;http://www.retainitland.com/;;
Redwood Landscape NWI LLC;Active Member;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;;14609 State Line Road, Cedar Lake, IN 46303;41.3521033, -87.525646;(219) 741-2250;-;https://redwoodlandscapenwi.com/;;
Restoration Nursery;Active Member;Class D;Conifers;Deciduous trees;Ornamental Trees;Retail;Wholesale;;7913 N 900 E, Lafayette, IN 47905;40.5328287, -86.7313231;(360) 631-8384;-;;;
Renaissance Management Services;Active Member;Class A;Design/Build;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;2550 E Business 30, Columbia City, IN 46725;41.1395785, -85.44287980000001;(260) 244-3053;-;https://www.renaissancelandscapes.com/;;
Rocks Etc.;Associate Member;Hardscape;Out of State Business;Soil Amendments;Wholesale;;;;18715 Rt. 84 North, Cordova, IL 61242;41.640625, -90.3360899;309-654-2261;-;https://www.xylemltd.com/;;
Robeson Farms;Active Member;Class D;Conifers;Deciduous trees;Grower;Ornamental Trees;Wholesale;;1776 N 200 E, Flora, IN 46929;40.5559415, -86.4819764;(765) 564-1361;-;https://www.robesonfarms.com/;;
Rite Quality;Affiliate Member;Business Services;;;;;;;710 N Washington St Kokomo, IN 46901;40.4923659, -86.13339599999999;800-580-7483;-;;;
Rickscapes LLC;Active Member;Class D;Design/Build;Erosion Control;Hardscape;Lawncare/Landscape Maintenance;Snow and Ice Removal;;10902 SR 17, Plymouth, IN 46563;41.3182682, -86.4009561;(574) 930-0571;;;;
Ricci’s Landscape Management Inc;Active Member;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;502 Norbeh Dr, Hebron, IN 46341;41.3216924, -87.1921749;(219) 996-2682;-;https://www.rlminc.com/;;
Pro Care Horticultural Services;Active Member;Annuals;Class A;Conifers;Deciduous trees;Ground Covers;Hardscape;In-House Landscape Management;9801 Commerce Dr, Carmel, IN 46032;39.929545, -86.224285;;-;;;
Primeline Outdoor Living;Active Member;Class C;Design/Build;Landscape Design;Lawncare/Landscape Maintenance;;;;7998 Centerpoint Drive Ste 750, Indianapolis, IN 46256;39.9375925, -86.02730280000003;(317) 459-9020;;;;
Primary Grounds;Active Member;Class A;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;5234 W. Stones Crossing Rd., Greenwood, IN 46143;39.5799278, -86.2027681;(317) 422-9755;-;http://primarygrounds.com/;;
Reading Rock; Inc. — Fishers; Indiana;Associate Member;Hardscape Supplier/ Mulch;Retail;Wholesale;;;;;12595 Cumberland Rd, Fishers, IN 46038;39.9706448, -85.9935781;(317) 913-9442;-;Reading Rock
Reading Rock; Inc.;Associate Member;Hardscape Supplier/ Mulch;Retail;Wholesale;;;;;12595 Cumberland Road, Fishers, IN 46038;39.9706835, -85.99353819999999;(317) 913-9442;-;Reading Rock;
Rancha Inc. dba New Frontiers; Inc.;Active Member;Class A;Design/Build;Hardscape;;;;;60500 Bremen Hwy. Mishawaka, IN 46544;41.6137892, -86.1762488;(574) 255-4855;-;http://www.newfrontierslandscaping.com;
Purdue University Horticulture & Landscape Architecture Dept.;Active Member;Educational Facility/Agency;;;;;;;170 S University St #B024 West Lafayette, IN 47907;40.4228303, -86.9159689;(765) 494-7902;-;http://www.hort.purdue.edu;;
Purdue University Grounds Dept.;Active Member;Annuals;Class D;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;695 S Russell Dr West Lafayette, IN 47907;40.4158938, -86.9198531;(765) 494-3087;-;;;
Premier Landscape & Design;Active Member;Annuals;Aquatics;Class C;Conifers;Deciduous trees;Ground Covers;Hardscape;Vincennes, IN 47591;38.677269, -87.5286325;(812) 886-1608;-;;;
Power Equipment Distributors; Inc;Associate Member;Equipment dealer;Out of State Business;Wholesale;;;;;69250 Burke Dr, Richmand, MI 48062;42.81127045703868, -82.74702995686951;(513) 200-2685;-;https://www.powereqp.com//;
Pool Builders by Aching Acres;Satellite Member;;;;;;;;8028 Azalea Dr., Evansville, IN 47712;37.932307, -87.6737529;812-305-2800;;;;
Perennials Plus;Active Member;Annuals;Conifers;Deciduous trees;Ground Covers;Grower;Ornamental Trees;Perennials;4510 W 166th St., Westfield, IN 46074;40.0282924, -86.2394715;(317) 867-5504;-;https://perennials-plus.com/;;
Pentecost Nursery;Active Member;Class D;Conifers;Deciduous trees;Grower;Ornamental Trees;Perennials;Retail;7394 S CR 750 E, Straughn, IN 47387;39.8256086, -85.2907795;(765) 332-2235;-;;;
Outdoor Environments Group;Active Member;Annuals;Conifers;Deciduous trees;Ground Covers;Hardscape;Irrigation;Landscape Design;4929 Robison Rd, Indianapolis, IN 46268;39.922272, -86.237589;(317) 292-9776;-;http://www.oeggroup.com/;;
Paver Rescue; Inc.;Active Member;Class B;Lawncare/Landscape Maintenance;;;;;;9386 Castlegate Dr, Indianapolis, IN 46256;39.924194, -86.0273371;(317) 649-5345;-;https://paverrescue.com/;
Oberfields;Associate Member;Hardscape Supplier/ Mulch;Out of State Business;;;;;;528 London Rd, Delaware, OH 43o15;40.28747000000001, -83.08523799999999;(740) 369-7644;;https://oberfields.com/;;
Norway Gardens; Inc.;Active Member;Class B;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;;308 W. Walleston Ave, Monticello, IN 47960;40.7786401, -86.7635858;(574) 583-3811;-;https://www.norwaygardens.com/;
Northland Farms; LLC;Associate Member;Horticulture, Product Supplier;Out of State Business;;;;;;11161 120th Ave, West Olive, MI 49460;42.970916019034, -86.084963872864;(616) 846-1477;-;http://www.northlandfarmsllc.com/;
